Company name,Website,Industry Vertical,Aviation,Automotive,Agriculture,Banking/Finance/Insurance,Construction,Chemicals/Life Sciences,Education,Energy/Utilities,Defense/Security,Government,Health,Hospitality,Logistics,Manufacturing,Media/Entertainment,Public Sector,Retail and eCommerce,Transport,Travel,Telecommunications,BICS Product Area,Personal Contact,Conference,Company Size,North America,LATAM,UK,Europe,MEA,APAC,Annual Revenue,Annual Employee Growth (%),Buyer Interest,Salesforce Status,Lead became Opportunity,Comment
"Fujitsu Managed Workplace Services, Europe.",https://www.fujitsu.com/be/,System Integrator,No,Yes,No,Yes,No,No,No,Yes,No,No,No,No,No,Yes,No,Yes,Yes,Yes,No,No,Numbers and Voice,No,No,10001+,Yes,Yes,Yes,Yes,No,Yes,26500000000,7,Neutral,Marketing Qualification,No,
Unisys,https://www.unisys.com/,System Integrator,No,No,No,Yes,No,Yes,Yes,No,No,No,Yes,No,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Numbers and Voice,No,No,10001+,Yes,Yes,Yes,Yes,No,Yes,2000000000,1,Negative,Marketing Qualification,No,
Delaware,https://www.delaware.pro/,System Integrator,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Numbers and Voice,Yes,No,1001-5000,No,Yes,No,No,No,No,633700000,42,Neutral,Marketing Qualification,No,
GMI Group,https://www.gmigroup.be/,System Integrator,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Numbers and Voice,No,No,51-200,No,No,No,Yes,No,No,10700000,2,Moderate,Marketing Qualification,No,
Reply,https://www.reply.com/en/,System Integrator,No,Yes,No,Yes,No,No,No,Yes,No,No,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Numbers and Voice,No,No,5001-10000,Yes,Yes,Yes,Yes,No,Yes,1600000000,1,Neutral,Marketing Qualification,No,
VestaTech,https://www.vestatech.be/,System Integrator,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Numbers and Voice,No,No,0-50,No,No,No,Yes,No,No,1600000,33,Neutral,Marketing Qualification,No,
Cegeka,https://www.cegeka.com/en/be/,System Integrator,Yes,No,Yes,Yes,No,Yes,No,Yes,No,Yes,Yes,No,No,Yes,No,No,Yes,No,No,Yes,Numbers and Voice,Yes,No,1001-5000,No,No,No,Yes,No,No,552200000,8,Moderate,Marketing Qualification,No,
Computerland,http://www.computerland.be/,System Integrator,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Numbers and Voice,No,No,51-200,No,No,No,Yes,No,No,18500000,2,Neutral,Not in SF,No,
Axians,https://www.axians.com/,System Integrator,No,No,No,Yes,No,No,Yes,Yes,No,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes,No,No,Numbers and Voice,No,No,10001+,No,No,No,Yes,No,No,2500000000,7,Neutral,Marketing Qualification,No,
Indra,https://www.indracompany.com/,System Integrator,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,Yes,No,No,Numbers and Voice,No,No,10001+,Yes,Yes,Yes,Yes,Yes,Yes,3700000000,2,Moderate,Marketing Qualification,No,
Capita,https://www.capita.com/,System Integrator,No,No,No,Yes,No,No,Yes,No,Yes,Yes,Yes,No,No,No,Yes,No,Yes,No,No,Yes,Numbers and Voice,No,No,10001+,No,No,Yes,No,No,No,3600000000,6,Negative,Marketing Qualification,No,
Sopra Steria,https://www.soprasteria.com/,System Integrator,Yes,No,No,Yes,No,No,No,Yes,Yes,Yes,No,No,No,No,Yes,No,Yes,Yes,No,Yes,Numbers and Voice,No,No,10001+,No,No,Yes,Yes,No,No,4900000000,5,Moderate,Prospect Without Opportunities,No,
Sogeti,https://www.sogeti.com/,System Integrator,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Numbers and Voice,No,No,10001+,Yes,No,Yes,Yes,No,No,4100000000,7,Neutral,Disqualified,No,
Modis,https://www.modis.com/,System Integrator,No,Yes,No,Yes,No,No,No,Yes,No,No,No,No,No,Yes,No,No,No,Yes,No,Yes,Numbers and Voice,No,No,10001+,Yes,No,Yes,Yes,No,Yes,2400000000,8,Neutral,Marketing Qualification,No,
Luxoft,https://www.luxoft.com/,System Integrator,No,Yes,No,Yes,No,No,No,Yes,No,No,Yes,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Numbers and Voice,No,No,10001+,Yes,No,Yes,Yes,No,Yes,706600000,15,Moderate,Marketing Qualification,No,
Expleo,https://expleo.com/global/en/,System Integrator,Yes,Yes,No,Yes,No,No,No,Yes,Yes,No,Yes,No,No,No,No,No,No,Yes,No,No,Numbers and Voice,No,No,10001+,Yes,No,Yes,Yes,Yes,Yes,1000000000,19,Neutral,Marketing Qualification,No,
The Nuvias Group,https://www.nuvias.com/,System Integrator,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Numbers and Voice,No,No,201-500,No,No,Yes,Yes,No,No,450000000,3,Neutral,Marketing Qualification,No,
Wipro Limited,https://www.wipro.com/,System Integrator,Yes,Yes,No,Yes,Yes,No,Yes,Yes,No,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Numbers and Voice,No,No,10001+,Yes,No,No,Yes,Yes,Yes,10100000000,8,Moderate,Marketing Qualification,No,
Fortt Tecnologia,http://www.fortt.com.br/,CCSPs,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,Numbers and Voice,No,No,0-50,No,Yes,No,No,No,No,2700000,0,Negative,Marketing Qualification,No,
Transcosmos Inc,https://www.trans-cosmos.co.jp/english/,CCSPs,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,Yes,Numbers and Voice,No,No,10001+,Yes,No,No,No,No,Yes,2600000000,9,Neutral,Marketing Qualification,No,
Calibehr Business Support Services Pvt. Ltd.,https://www.calibehr.com/,System Integrator,No,No,No,Yes,No,Yes,No,Yes,No,No,No,Yes,Yes,Yes,Yes,No,Yes,No,No,No,Numbers and Voice,No,No,10001+,No,No,No,No,No,Yes,6300000000,16,Neutral,Marketing Qualification,No,
Sprinklr,https://www.sprinklr.com/,System Integrator,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Numbers and Voice,No,No,1001-5000,Yes,Yes,Yes,Yes,Yes,Yes,526400000,21,Neutral,Marketing Qualification,No,
Genesys,https://www.genesys.com/,Software,No,No,No,Yes,No,No,No,No,No,Yes,Yes,No,No,No,No,No,Yes,No,No,Yes,Numbers and Voice,No,No,1001-5000,Yes,Yes,Yes,Yes,No,Yes,1300000000,13,Moderate,Prospect Without Opportunities,No,
